MatchID,Team,WK,11309
237,Kochi Tuskers Kerala,PA Patel,
237,Royal Challengers Bangalore,AB de Villiers,
238,Delhi Daredevils,NV Ojha,
238,Mumbai Indians,DJ Jacobs,
239,Kings XI Punjab,AC Gilchrist,
239,Pune Warriors,RV Uthappa,
240,Kolkata Knight Riders,MS Bisla,
240,Deccan Chargers,KC Sangakkara,
241,Delhi Daredevils,NV Ojha,
241,Rajasthan Royals,AG Paunikar,
242,Royal Challengers Bangalore,AB de Villiers,
242,Mumbai Indians,DJ Jacobs,
243,Chennai Super Kings,MS Dhoni,
243,Kings XI Punjab,AC Gilchrist,
244,Kochi Tuskers Kerala,PA Patel,
244,Pune Warriors,RV Uthappa,
245,Deccan Chargers,KC Sangakkara,
245,Royal Challengers Bangalore,AB de Villiers,
246,Rajasthan Royals,AG Paunikar,
246,Kolkata Knight Riders,MS Bisla,
247,Mumbai Indians,DJ Jacobs,
247,Kochi Tuskers Kerala,PA Patel,
248,Chennai Super Kings,MS Dhoni,
248,Royal Challengers Bangalore,AB de Villiers,
249,Deccan Chargers,KC Sangakkara,
249,Kings XI Punjab,AC Gilchrist,
250,Pune Warriors,RV Uthappa,
250,Delhi Daredevils,NV Ojha,
251,Rajasthan Royals,AG Paunikar,
251,Kolkata Knight Riders,MS Bisla,
252,Chennai Super Kings,MS Dhoni,
252,Kochi Tuskers Kerala,PA Patel,
253,Deccan Chargers,KC Sangakkara,
253,Delhi Daredevils,NV Ojha,
254,Pune Warriors,TD Paine,
254,Mumbai Indians,AT Rayudu,
255,Kochi Tuskers Kerala,PA Patel,
255,Kolkata Knight Riders,MS Bisla,
256,Kings XI Punjab,AC Gilchrist,
256,Rajasthan Royals,DH Yagnik,
257,Kolkata Knight Riders,BJ Haddin,
257,Royal Challengers Bangalore,AB de Villiers,
258,Mumbai Indians,AT Rayudu,
258,Chennai Super Kings,MS Dhoni,
259,Delhi Daredevils,NV Ojha,
259,Kings XI Punjab,AC Gilchrist,
260,Mumbai Indians,DJ Jacobs,
260,Deccan Chargers,KC Sangakkara,
261,Kochi Tuskers Kerala,PA Patel,
261,Rajasthan Royals,DH Yagnik,
262,Chennai Super Kings,MS Dhoni,
262,Pune Warriors,RV Uthappa,
263,Delhi Daredevils,NV Ojha,
263,Royal Challengers Bangalore,AB de Villiers,
264,Pune Warriors,RV Uthappa,
264,Chennai Super Kings,MS Dhoni,
265,Deccan Chargers,KC Sangakkara,
265,Kochi Tuskers Kerala,PA Patel,
266,Kolkata Knight Riders,SP Goswami,
266,Delhi Daredevils,NV Ojha,
267,Mumbai Indians,DJ Jacobs,
267,Rajasthan Royals,DH Yagnik,
268,Royal Challengers Bangalore,AB de Villiers,
268,Pune Warriors,RV Uthappa,
269,Delhi Daredevils,NV Ojha,
269,Kochi Tuskers Kerala,PA Patel,
270,Kings XI Punjab,AC Gilchrist,
270,Kolkata Knight Riders,SP Goswami,
271,Pune Warriors,RV Uthappa,
271,Rajasthan Royals,DH Yagnik,
272,Chennai Super Kings,MS Dhoni,
272,Deccan Chargers,KC Sangakkara,
273,Mumbai Indians,DJ Jacobs,
273,Kings XI Punjab,AC Gilchrist,
274,Delhi Daredevils,NV Ojha,
274,Kochi Tuskers Kerala,PA Patel,
275,Kolkata Knight Riders,MV Boucher,
275,Deccan Chargers,KC Sangakkara,
276,Rajasthan Royals,DH Yagnik,
276,Chennai Super Kings,MS Dhoni,
277,Mumbai Indians,AT Rayudu,
277,Pune Warriors,RV Uthappa,
278,Kochi Tuskers Kerala,PA Patel,
278,Kolkata Knight Riders,MV Boucher,
279,Deccan Chargers,KC Sangakkara,
279,Delhi Daredevils,NV Ojha,
280,Royal Challengers Bangalore,AB de Villiers,
280,Kings XI Punjab,AC Gilchrist,
281,Chennai Super Kings,MS Dhoni,
281,Kolkata Knight Riders,MV Boucher,
282,Mumbai Indians,AT Rayudu,
282,Delhi Daredevils,NV Ojha,
283,Kochi Tuskers Kerala,PA Patel,
283,Royal Challengers Bangalore,AB de Villiers,
284,Kings XI Punjab,AC Gilchrist,
284,Pune Warriors,RV Uthappa,
285,Chennai Super Kings,MS Dhoni,
285,Rajasthan Royals,DH Yagnik,
286,Deccan Chargers,KC Sangakkara,
286,Pune Warriors,RV Uthappa,
287,Kings XI Punjab,AC Gilchrist,
287,Mumbai Indians,AT Rayudu,
288,Rajasthan Royals,DH Yagnik,
288,Royal Challengers Bangalore,KB Arun Karthik,
289,Chennai Super Kings,MS Dhoni,
289,Delhi Daredevils,NV Ojha,
290,Kochi Tuskers Kerala,PA Patel,
290,Kings XI Punjab,AC Gilchrist,
291,Kolkata Knight Riders,MV Boucher,
291,Royal Challengers Bangalore,KB Arun Karthik,
292,Deccan Chargers,KC Sangakkara,
292,Mumbai Indians,AT Rayudu,
293,Kings XI Punjab,AC Gilchrist,
293,Delhi Daredevils,NV Ojha,
294,Rajasthan Royals,PR Shah,
294,Kochi Tuskers Kerala,PA Patel,
295,Pune Warriors,RV Uthappa,
295,Deccan Chargers,KC Sangakkara,
296,Kings XI Punjab,AC Gilchrist,
296,Royal Challengers Bangalore,KB Arun Karthik,
297,Chennai Super Kings,MS Dhoni,
297,Kochi Tuskers Kerala,PA Patel,
298,Pune Warriors,RV Uthappa,
298,Kolkata Knight Riders,SP Goswami,
299,Mumbai Indians,AT Rayudu,
299,Rajasthan Royals,PR Shah,
300,Deccan Chargers,KH Devdhar,
300,Kings XI Punjab,AC Gilchrist,
301,Delhi Daredevils,NV Ojha,
301,Delhi Daredevils innings,NA,
302,Chennai Super Kings,MS Dhoni,
302,Royal Challengers Bangalore,AB de Villiers,
303,Kolkata Knight Riders,SP Goswami,
303,Mumbai Indians,AT Rayudu,
304,Royal Challengers Bangalore,AB de Villiers,
304,Chennai Super Kings,MS Dhoni,
305,Kolkata Knight Riders,SP Goswami,
305,Mumbai Indians,AT Rayudu,
306,Royal Challengers Bangalore,AB de Villiers,
306,Mumbai Indians,AT Rayudu,
307,Chennai Super Kings,MS Dhoni,
307,Royal Challengers Bangalore,AB de Villiers,
308,Chennai Super Kings,MS Dhoni,
308,Mumbai Indians,KD Karthik,
309,Kolkata Knight Riders,BB McCullum,
309,Delhi Daredevils,NV Ojha,
310,Pune Warriors,RV Uthappa,
310,Mumbai Indians,KD Karthik,
311,Rajasthan Royals,SP Goswami,
311,Kings XI Punjab,AC Gilchrist,
312,Royal Challengers Bangalore,AB de Villiers,
312,Delhi Daredevils,NV Ojha,
313,Chennai Super Kings,MS Dhoni,
313,Deccan Chargers,PA Patel,
314,Rajasthan Royals,SP Goswami,
314,Kolkata Knight Riders,BB McCullum,
315,Pune Warriors,RV Uthappa,
315,Kings XI Punjab,AC Gilchrist,
316,Deccan Chargers,PA Patel,
316,Mumbai Indians,KD Karthik,
317,Kolkata Knight Riders,MS Bisla,
317,Royal Challengers Bangalore,AB de Villiers,
318,Chennai Super Kings,MS Dhoni,
318,Delhi Daredevils,NV Ojha,
319,Mumbai Indians,KD Karthik,
319,Rajasthan Royals,SP Goswami,
320,Royal Challengers Bangalore,AB de Villiers,
320,Chennai Super Kings,MS Dhoni,
321,Pune Warriors,RV Uthappa,
321,Kings XI Punjab,AC Gilchrist,
322,Rajasthan Royals,SP Goswami,
322,Kolkata Knight Riders,MS Bisla,
323,Chennai Super Kings,MS Dhoni,
323,Pune Warriors,RV Uthappa,
324,Kings XI Punjab,AC Gilchrist,
324,Kolkata Knight Riders,MS Bisla,
325,Rajasthan Royals,SP Goswami,
325,Royal Challengers Bangalore,AB de Villiers,
326,Mumbai Indians,KD Karthik,
326,Delhi Daredevils,NV Ojha,
327,Deccan Chargers,KC Sangakkara,
327,Rajasthan Royals,DH Yagnik,
328,Pune Warriors,RV Uthappa,
328,Royal Challengers Bangalore,AB de Villiers,
